gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
52,3.7631600075302893,3.088639890025141,1.5363207912673447,0.5698408151056753,2.666,2.87,2.034,3.884,1.974,0.504
53,3.7631600075302893,2.807482671106963,0.3536080304271024,0.8981082582350277,2.649,2.883,2.049,3.788,2.348,0.505
54,3.7631600075302893,2.997720270747796,1.7848616028082456,0.5417281122207315,2.726,2.87,2.07,3.827,1.897,0.551
55,3.7770702132920735,3.087374284421244,1.077941755583635,0.6394831324318274,2.643,2.898,2.266,4.088,1.922,0.552
56,3.7770702132920735,3.0947123393019336,1.6895320171112862,0.5846030902142366,2.607,2.661,2.48,4.165,1.895,0.518
57,3.779231613111423,2.9687654943091983,0.8299578857206624,0.6442171800421784,2.725,2.644,2.562,4.056,1.984,0.581
58,3.79092671588112,2.9862068266208066,1.1078021189988376,0.7247756240467568,2.54,2.548,2.896,4.142,2.127,0.588
59,3.79092671588112,2.921475571911709,0.050249694506869225,0.7603559614427611,2.693,2.571,2.652,4.647,2.24,0.557
60,3.79092671588112,2.976796951162048,1.575985505012654,0.6473070857641366,2.657,2.669,2.824,4.773,2.203,0.525
61,3.793013740846961,3.0340183684810076,0.8167686993845155,0.6633281478622503,2.814,2.547,2.579,5.005,2.284,0.54
62,3.848770324201865,3.104780324413076,1.1121663440417515,0.6165838408235941,3.008,2.669,2.63,5.682,2.243,0.441
63,3.848770324201865,3.057476863505789,0.3297056936014202,0.650112122448802,2.882,2.906,2.435,6.373,2.225,0.382
64,3.8493847844750433,3.131351600621232,0.7637406760900386,0.6674421026222578,2.676,2.868,2.487,6.304,2.426,0.468
65,3.8493847844750433,3.075249460956517,0.0,0.7293896838108324,2.68,2.771,2.399,6.933,2.307,0.478
66,3.8910486657486536,3.0311794822369182,1.4817610256577127,0.6961526491676913,2.917,2.939,2.608,6.743,2.406,0.411
67,3.8910486657486536,3.01030590377368,0.4869155557968482,0.7404966101321556,2.707,2.711,2.596,6.974,2.358,0.341
68,3.8910486657486536,2.9940904171443345,0.29570929885199976,0.6867951109001811,2.78,2.763,2.55,7.543,2.549,0.357
69,3.904282573417921,2.8902096088690006,0.0808149956281356,0.8878450060159707,2.75,2.761,2.585,7.406,2.519,0.34
70,3.9149038560284724,2.951321997363854,0.5830631431062425,0.7643374286876531,2.905,2.806,2.437,6.662,2.552,0.386
71,3.9149038560284724,3.0195735996251187,0.15092571650464282,0.7875758370396776,2.784,2.601,2.797,6.57,2.557,0.49
72,3.9149038560284724,3.142951577200847,1.5004577140682576,0.5942911960636661,2.889,2.566,2.49,6.753,2.301,0.483
73,3.9149038560284724,3.174580008276757,1.1935453279390038,0.6178181712259503,2.881,2.803,2.535,7.173,2.378,0.554
74,3.9149038560284724,3.0935561824958686,1.554055904655839,0.5887290444559343,2.831,2.506,2.397,6.981,2.415,0.567
75,3.9349347108429957,3.0385999359846716,0.7080292196568847,0.698420757030199,2.651,2.671,2.479,7.311,2.372,0.66
76,3.939286573926531,3.276178090269012,1.743572845507836,0.57002955716455,2.705,2.652,2.579,7.682,2.579,0.704
77,3.948186072706793,3.2087472360980236,1.4254322300198694,0.5989394321936503,2.744,2.822,2.548,7.751,2.621,0.555
78,3.948186072706793,3.1271239107218776,1.3329827737009052,0.7806670926361859,2.646,2.699,2.498,7.788,2.63,0.561
79,3.948186072706793,3.1999265968055495,1.2628096444196943,0.7529822818679988,2.855,2.77,2.425,7.782,2.516,0.569
80,3.9627753728895203,3.2292026568178342,1.559493424626603,0.6558331125443988,2.67,2.713,2.4,7.93,2.667,0.585
81,3.9627753728895203,3.212469382098357,1.263861019676745,0.7508979571180003,2.736,2.488,2.679,7.717,2.668,0.598
82,3.9627838961729243,3.1474646429009305,0.39304623302194824,0.8615152241373244,2.772,2.707,2.723,7.509,2.479,0.609
83,3.9627838961729243,3.203462816734443,1.4356395566309026,0.6949668776846839,2.592,2.634,2.894,7.671,2.709,0.582
84,3.9627838961729243,3.171671023050424,1.3617880252260632,0.6381502418542243,2.714,2.728,2.912,7.788,2.594,0.584
85,3.9627838961729243,3.2388600346911325,1.4485771830483667,0.6781730495413103,2.646,2.652,2.944,7.897,2.394,0.603
86,3.9627838961729243,3.4015688306216645,2.055597199905928,0.5009997833058099,2.682,2.822,2.837,7.865,2.37,0.574
87,3.9627838961729243,3.2926030687031322,1.3204432229498537,0.6292308709755459,2.755,2.852,2.767,7.592,2.549,0.561
88,3.9669891415719336,3.2263203599120787,1.5754570042027913,0.6089748565352116,2.757,2.624,2.729,7.605,2.424,0.59
89,3.97351673523953,3.3355200376284238,1.260320326379988,0.696505100353562,2.837,2.741,2.399,7.51,2.576,0.597
90,3.97351673523953,3.0463524489934333,0.7677114354324832,0.7963994995787625,2.844,2.866,2.632,7.57,2.609,0.631
91,3.97351673523953,3.2321566020207317,1.4646203904470347,0.667994795055561,2.796,2.856,2.419,7.505,2.387,0.691
92,3.9737441606972865,3.2496281566895973,1.5982615174218355,0.5813655212290413,2.671,2.9,2.531,7.603,2.41,0.781
93,3.977245606890847,3.3133901918427733,1.6405666001361783,0.6440461844275681,2.694,2.77,2.65,7.849,2.408,0.758
94,3.977245606890847,3.237855540917496,0.8474267860288138,0.7865258536086445,2.615,2.7,2.873,7.546,2.514,0.74
95,3.9877665363846626,3.4654079928401904,1.0480339929362408,0.6680576911856531,2.569,2.762,2.584,7.558,2.623,0.69
96,3.9877665363846626,3.289327801789121,0.897819527543967,0.7775539928853746,2.726,2.998,2.673,7.809,2.577,0.634
97,3.9877665363846626,3.24723610326058,1.4648245195969405,0.6755676388471603,2.713,2.894,2.777,7.781,2.697,0.642
98,3.994799421100184,3.3541697456510247,1.4864768013006784,0.6662788641756089,2.704,2.859,2.371,7.594,2.459,0.581
99,3.994799421100184,3.5703461964563443,2.2548459932108873,0.5051663442845934,2.751,2.668,2.55,7.911,2.604,0.671
