gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
51,2.898605037391628,2.7125380838306716,1.506064016049216,0.28229458610956965,2.731,2.11,2.595,4.099,1.894,0.334
52,2.898605037391628,2.7109659621253686,1.350082064889247,0.2886912896573788,2.773,2.23,2.825,4.19,1.889,0.366
53,2.9346802475623366,2.6625748567100356,1.38930963894247,0.36490677038949504,2.87,2.229,2.707,4.35,2.017,0.381
54,2.9346802475623366,2.6460953001894354,0.587697473939992,0.4092402845990704,2.731,2.301,2.833,3.959,2.126,0.343
55,2.9346802475623366,2.678271143083327,1.6672889849991188,0.26874031926490183,2.806,2.094,2.816,4.044,2.035,0.266
56,2.9346802475623366,2.554290176384505,0.7646743662730799,0.4530210846602746,2.659,1.928,2.962,4.148,2.153,0.204
57,2.97716095865277,2.7206718020381055,1.7347874634368219,0.2658450383682984,2.565,2.143,2.811,4.423,2.323,0.187
58,2.97716095865277,2.68696180732037,0.629697928194886,0.3953166625078186,2.617,1.897,2.762,4.725,2.464,0.168
59,2.97716095865277,2.708885212267449,1.485438623536907,0.315416448710593,2.479,1.943,2.811,4.799,2.385,0.107
60,2.97716095865277,2.7162907921063306,0.7125845931947961,0.38146551969960407,2.588,2.012,2.642,5.081,2.478,0.104
61,2.985168288622937,2.8120406619429987,2.182314943337109,0.20174912037683784,2.636,2.149,2.432,6.205,2.378,0.115
62,2.985168288622937,2.713305942448481,1.1086485347403277,0.4134790661273142,2.958,2.182,2.584,7.974,2.372,0.14
63,3.3358907125262194,2.7872531309986837,1.2683928124515405,0.3815762153441704,2.517,2.216,2.604,8.477,2.524,0.171
64,3.3421013686175125,2.8614078163627337,1.7358237188184713,0.29944511377171074,2.581,2.056,2.651,9.487,2.798,0.187
65,3.518454974119038,2.8538466024781943,1.1183513118735364,0.43375724228798507,3.018,2.113,2.381,9.342,3.318,0.199
66,3.7993682720380786,2.9924477885724823,1.4261511378232925,0.3902024841832827,2.714,2.244,2.718,9.287,4.135,0.209
67,3.7993682720380786,3.0955551414889384,1.8069329342848632,0.4295650013094689,2.95,2.196,2.825,9.433,5.243,0.197
68,3.7993682720380786,3.0849969941500057,0.3844208424070916,0.5329778357641559,3.168,2.341,2.6,9.592,5.519,0.192
69,3.7998034278561867,3.216625635052089,2.0852105368540133,0.39893448289616085,3.638,2.211,2.571,9.853,6.429,0.184
70,3.7998034278561867,3.269028559211496,2.0717004330943096,0.40503192685803013,4.143,2.157,2.884,9.832,7.19,0.2
71,3.7998034278561867,3.16667649984695,0.028286893042463124,0.7457185088020911,5.162,2.067,2.692,9.452,7.381,0.23
72,3.8233191264775765,3.2683136888377193,0.9577110845928405,0.6123084781285757,4.984,1.988,2.601,9.73,6.913,0.231
73,3.9517883285257374,3.32832920717129,1.4246269888502079,0.5088970371484056,5.308,1.998,2.542,9.733,7.063,0.233
74,3.9517883285257374,3.288407470700065,0.0614254726251533,0.6312018749383639,6.322,1.933,2.405,9.654,6.824,0.248
75,3.9517883285257374,3.2771109118374473,1.9041175994204051,0.49295911016258404,6.749,2.045,2.253,9.781,6.998,0.267
76,4.164814454851298,3.2994048770008937,1.9893486665047426,0.4978735657247555,6.364,1.937,2.208,9.977,7.268,0.243
77,4.164814454851298,2.989515236447637,0.0,0.9159187074460532,6.793,1.856,2.421,9.602,7.642,0.271
78,4.16948090102972,3.2439539291537174,0.6854061350003544,0.7431548900794518,7.558,1.828,2.451,9.914,8.056,0.327
79,4.19367222637425,3.4626727062553955,1.4670867029559034,0.6235852270370161,7.575,1.919,2.248,9.916,8.365,0.256
80,4.19367222637425,3.4729692862470216,1.8643146264126367,0.6041188515658532,7.812,1.806,2.193,9.936,8.788,0.278
81,4.274533129731378,3.525549708798492,0.0,0.7389095261387735,7.752,1.85,2.511,9.683,9.395,0.288
82,4.274533129731378,3.4714990448514205,1.6774438086462622,0.6988611022566706,7.662,1.9,2.489,9.898,9.582,0.277
83,4.274533129731378,3.4796717727286914,0.0,0.7974940423776052,7.619,1.82,2.373,9.745,9.708,0.258
84,4.3381733300273515,3.5683874487789056,2.2296604348986717,0.5968722438920988,7.382,1.897,2.376,9.888,9.856,0.249
85,4.338455880349288,3.3523604910857268,0.011760736254887938,0.8616761840436611,7.276,1.908,2.283,9.414,9.834,0.242
86,4.338455880349288,3.452267647195241,0.0,0.7593628961014525,7.161,1.849,2.359,9.761,9.645,0.233
87,4.345682954786709,3.3904404991805883,0.0,0.7856629874110926,6.522,1.859,2.316,9.795,9.793,0.227
88,4.345682954786709,3.3202479621797814,0.0,0.9420006186528899,6.652,2.024,2.564,9.52,9.639,0.212
89,4.377608262787737,3.685781683931459,1.758467081573559,0.610399491595088,6.395,2.203,2.544,9.985,9.712,0.235
90,4.429090826708503,3.6577295226850026,1.4940670995826164,0.6451375165545563,6.22,1.888,2.424,9.924,8.992,0.23
91,4.429090826708503,3.4864159802541805,0.44405586249718443,0.8537405930061529,6.671,1.871,2.356,9.728,9.437,0.24
92,4.429545815149627,3.5845205765308124,2.0518380299434584,0.6630484368111066,6.639,1.86,2.502,9.727,9.494,0.246
93,4.429545815149627,3.538360410024494,0.0,0.896812134920825,6.607,1.925,2.576,9.563,9.816,0.238
94,4.429545815149627,3.7714638947469115,1.736085248106602,0.5772767698131457,6.662,1.891,2.409,9.994,9.84,0.21
95,4.4656538949376285,3.6719003636683514,0.0,0.8837279473768574,6.572,1.925,2.32,9.714,9.227,0.218
96,4.4656538949376285,3.647337410793189,1.9149701956554992,0.7281473943647343,6.556,2.122,2.335,9.918,9.816,0.218
97,4.4656538949376285,3.5161804427465313,0.0,0.8005337438763188,6.561,2.178,2.408,9.7,9.675,0.234
98,4.4656538949376285,3.696533796238885,1.7755813069215094,0.7265868414137322,6.444,2.162,2.345,9.738,9.508,0.244
99,4.506510156805433,3.671750379830329,0.0,0.7925268336100397,6.491,2.27,2.355,9.739,9.868,0.242
