gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
435,0.0115,0.01,0.0047,2.5196,0.759,2.7658,0.7839,0.8118,0.3689,1.0029,0.9941,0.3748,1.0376,1.0044,0.096,2.3083,2.5886,0.7503,0.6136,0.9805,0.4432,0.1188,0.0768,0.0622,0.0192,0.0113,0.0095
440,0.0103,0.01,0.0005,2.8203,0.744,3.1499,0.7756,0.8118,0.5831,0.9702,0.9941,0.1192,1.0037,1.0044,0.1035,1.9465,2.5761,1.1564,0.7123,0.9567,0.6332,0.1181,0.0768,0.066,0.0202,0.0113,0.0109
445,0.012,0.01,0.0053,3.1401,0.901,3.6756,0.4286,0.0982,0.4215,1.0243,0.9941,0.3407,1.0329,1.0044,0.2517,1.892,2.5854,1.1592,0.7186,0.9805,0.4095,0.1122,0.0768,0.063,0.0179,0.0113,0.0104
450,0.0104,0.01,0.0009,1.975,0.9508,2.9483,0.4877,0.0982,0.4626,0.9406,0.9894,0.1443,1.0324,1.0044,0.0882,1.7173,2.3815,1.4817,0.8047,0.9805,0.3872,0.1284,0.0944,0.0696,0.0155,0.0105,0.009
455,0.0108,0.01,0.0009,3.6875,0.8165,4.3347,0.6747,1.0049,0.4442,1.0465,0.9941,0.379,1.0567,1.0044,0.0654,1.5837,2.3815,1.1918,0.71,0.9567,0.4351,0.1317,0.0849,0.0789,0.0144,0.0113,0.0081
460,0.0106,0.01,0.0008,3.3074,0.7868,4.0671,0.6741,1.0049,0.4303,1.0221,0.9894,0.1021,1.0589,1.0044,0.2851,1.6366,2.5854,1.1616,0.6996,0.9567,0.4273,0.0939,0.0849,0.0405,0.0175,0.0113,0.0109
465,0.0106,0.01,0.0008,3.8665,0.7471,4.3523,0.9169,1.0049,0.2665,1.0147,0.9894,0.2817,1.0045,0.9974,0.0338,1.0187,0.3377,1.0158,0.6727,0.9567,0.4338,0.0872,0.0849,0.0314,0.0208,0.0113,0.0118
470,0.0112,0.01,0.0044,4.4033,0.7471,4.528,0.9915,1.0049,0.1361,1.0465,0.9894,0.2775,1.0813,1.0044,0.558,1.2119,0.3377,1.1376,0.6336,0.9567,0.4476,0.0821,0.0849,0.0102,0.0273,0.036,0.0118
475,0.0106,0.01,0.0028,4.7895,0.7471,4.6129,0.9904,1.0049,0.1417,0.9608,0.9894,0.1769,0.9137,1.0044,0.2723,0.8294,0.3334,0.9563,0.6775,0.9567,0.4407,0.0858,0.0849,0.0288,0.0242,0.0235,0.0137
480,0.0107,0.01,0.0013,5.7465,10.0,4.6086,0.9681,1.0049,0.1393,1.0024,1.0086,0.0423,0.9802,1.0044,0.1341,0.7992,0.3334,0.9366,0.5155,0.9567,0.4643,0.0834,0.0721,0.0155,0.0254,0.0113,0.0232
485,0.0104,0.01,0.0014,2.6624,0.7409,3.6655,1.0028,1.0049,0.0372,1.0065,1.0086,0.016,1.0015,1.0044,0.0446,0.5807,0.3334,0.6979,0.7636,0.9567,0.4012,0.0749,0.0721,0.014,0.02,0.0112,0.0121
490,0.0105,0.01,0.0028,2.9976,0.7409,3.9405,0.965,1.0049,0.1797,1.0513,1.0086,0.2827,0.9787,1.0044,0.1326,0.4577,0.3961,0.4549,0.7279,0.9949,0.4375,0.0611,0.0721,0.0282,0.0182,0.013,0.0108
495,0.0113,0.01,0.0048,1.2299,0.7409,2.227,0.9651,1.0049,0.347,1.018,1.0086,0.2161,1.0766,1.0044,0.399,0.3314,0.3334,0.0688,0.5232,0.8538,0.4787,0.056,0.0632,0.0407,0.0198,0.0137,0.0116
