gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
240,0.2508,0.1223,0.2763,0.9502,0.414,1.037,0.905,1.0319,0.5368,0.7891,0.8972,0.2632,0.9849,0.9172,0.4672,0.0367,0.026,0.0354,0.6408,0.9692,0.4938,9.312,9.5875,1.3202,0.4509,0.2809,0.3271
245,0.1364,0.1223,0.1155,0.7059,0.3531,0.9572,0.8711,0.9324,0.334,1.0212,0.9428,0.4902,1.0191,0.9133,0.4417,0.0579,0.0298,0.0589,0.7158,1.0276,0.6283,8.7474,8.7194,1.8002,0.2617,0.2809,0.1903
250,0.099,0.1223,0.0703,0.6687,0.3531,0.978,0.7856,0.8108,0.4839,1.0521,0.9428,0.4823,0.8919,0.9133,0.1903,0.0523,0.0307,0.0414,0.8388,1.0853,0.4831,9.128,9.4741,0.9959,0.2422,0.2809,0.118
255,0.0965,0.1223,0.0618,1.193,0.3531,1.5149,0.7803,0.8108,0.5676,1.0238,0.9812,0.3161,0.9864,0.9133,0.3409,0.0768,0.0895,0.0533,0.425,0.0358,0.4963,7.8983,9.6984,3.0725,0.2031,0.2291,0.1868
260,0.1032,0.1223,0.0422,1.3445,0.3531,2.0712,0.6419,0.6596,0.4459,0.8764,0.9403,0.2388,0.9974,1.0074,0.1811,0.0647,0.0405,0.0419,0.7169,0.9574,0.4552,4.6925,2.8309,3.9759,0.2266,0.2029,0.252
265,0.1039,0.1223,0.0427,1.7478,0.9409,2.6576,0.5824,0.6596,0.3793,0.9415,0.9428,0.1492,1.1563,0.9363,0.5004,0.0766,0.0438,0.0723,0.8959,0.9574,0.6658,6.7588,9.5903,4.1156,0.2288,0.1681,0.2271
270,0.0989,0.1232,0.0737,0.4955,0.2688,0.6952,0.5052,0.639,0.3558,0.9569,0.9778,0.1825,1.002,0.9352,0.3694,0.0945,0.0438,0.0977,0.6924,0.9574,0.4326,2.9069,0.8273,3.801,0.1279,0.0282,0.2065
275,0.0486,0.0186,0.0509,0.3519,0.2688,0.346,0.6855,0.7321,0.2721,1.0421,0.9778,0.43,0.8474,0.9352,0.2758,0.0751,0.0404,0.081,0.7404,0.9574,0.404,1.9609,0.8472,2.9033,0.0569,0.0272,0.09
280,0.0885,0.0901,0.0622,0.2227,0.196,0.2695,0.6926,0.7321,0.1467,1.0912,0.9778,0.4139,0.9506,0.9352,0.2827,0.0522,0.0404,0.0359,0.6328,0.9574,0.4791,2.4194,0.8364,3.1722,0.0747,0.0735,0.0648
285,0.1872,0.1173,0.1782,0.117,0.0388,0.1362,0.859,0.8534,0.3463,1.0534,0.9778,0.343,0.9572,0.9352,0.1487,0.0482,0.0404,0.0376,0.6012,0.9574,0.4683,1.1447,0.8273,1.4576,0.0589,0.066,0.0478
290,0.3393,0.1151,0.3986,0.1752,0.2501,0.1345,0.8719,0.8534,0.2768,0.9866,0.9778,0.1554,0.9769,0.9567,0.2896,0.0446,0.0404,0.0434,0.6278,0.9574,0.4857,0.7675,0.7671,0.4005,0.0707,0.0491,0.0674
295,0.3566,0.1151,0.8668,0.119,0.0297,0.1247,0.6702,0.817,0.3536,1.011,0.9778,0.3992,0.9636,0.9758,0.3044,0.0364,0.013,0.0382,0.7005,0.9563,0.7108,1.0379,0.8273,0.6919,0.0659,0.047,0.0888
300,0.167,0.0901,0.6671,0.1769,0.0436,0.2876,0.5845,0.817,0.3512,0.9222,0.9778,0.1978,0.9419,0.9758,0.1478,0.0204,0.0109,0.0241,0.8384,0.1147,1.4662,1.0014,0.9027,0.7496,0.0494,0.0349,0.0429
305,0.0841,0.0921,0.0671,0.1315,0.0406,0.1878,0.7304,0.8209,0.4119,0.9935,0.9778,0.4626,1.0482,0.9758,0.4294,0.0131,0.0109,0.0069,0.6118,0.9829,0.6183,1.656,0.7565,1.7993,0.041,0.0309,0.0367
310,0.1017,0.1196,0.0591,0.1939,0.2709,0.146,0.7927,0.9566,0.3999,0.9588,0.9186,0.3096,0.9405,0.996,0.2218,0.0112,0.0116,0.0009,0.692,1.0682,0.494,4.2632,4.8826,3.2598,0.1029,0.0724,0.0887
315,0.1083,0.1196,0.0662,0.1906,0.2651,0.1546,0.8739,0.9566,0.4649,0.9559,0.9408,0.1742,0.9133,0.996,0.445,0.0125,0.0116,0.0054,0.7235,1.0682,0.5295,3.7533,3.2234,2.8148,0.0603,0.0614,0.0277
320,0.1304,0.1196,0.1122,0.195,0.2651,0.1283,0.8528,0.9566,0.3503,1.1006,1.0935,0.3559,0.9987,0.996,0.2028,0.0163,0.0116,0.0083,0.7764,0.9811,0.6043,4.9016,5.0682,3.0642,0.0633,0.0349,0.0549
325,0.1351,0.1196,0.2051,0.2314,0.2651,0.1388,0.9687,1.0745,0.3136,1.4901,1.1126,0.8907,0.9588,0.9613,0.5657,0.0221,0.0273,0.0101,0.6711,0.9811,0.5009,5.3609,6.5439,3.5244,0.073,0.0349,0.0733
330,0.3369,0.0601,0.5322,0.1792,0.2697,0.142,0.921,0.9566,0.2753,1.2648,1.1126,0.5616,0.9974,0.8602,0.4479,0.0158,0.0116,0.0081,0.6176,0.4382,0.7458,7.0078,7.4457,2.7349,0.0514,0.0299,0.0335
335,0.0829,0.0132,0.1963,0.2201,0.2743,0.2035,0.9297,0.8762,0.3325,1.1116,1.0743,0.2491,1.1023,0.9759,0.592,0.0171,0.0116,0.0107,0.8143,0.9811,0.491,6.8035,8.3975,3.0133,0.0485,0.028,0.0448
340,0.0531,0.0113,0.0652,0.2263,0.2915,0.2282,1.0146,0.8762,0.3891,1.2109,1.0743,0.419,0.8624,0.8655,0.3349,0.0204,0.0143,0.0109,0.6591,0.9811,0.4542,7.3998,8.3948,2.5706,0.0497,0.028,0.0338
345,0.0273,0.0119,0.0414,0.3122,0.3161,0.2826,0.8236,0.8762,0.5624,1.0761,1.0311,0.569,0.7369,0.8602,0.3384,0.025,0.0223,0.0174,1.0031,0.9841,0.4831,6.3582,5.7565,2.6494,0.0344,0.0255,0.0234
350,0.0407,0.0121,0.0472,0.2768,0.1074,0.3631,0.8539,0.8762,0.4998,1.0969,1.0496,0.4611,0.7612,0.8382,0.3358,0.027,0.0249,0.0175,0.8094,0.9841,0.5795,6.3642,6.0654,3.2573,0.0282,0.0265,0.0089
355,0.06,0.012,0.0968,0.3006,0.0617,0.5495,0.8716,0.8762,0.3544,1.0249,0.9394,0.2655,0.6962,0.8382,0.3765,0.0202,0.01,0.0135,0.909,0.9841,0.2653,3.6928,4.7657,2.507,0.0286,0.0257,0.0048
360,0.014,0.0111,0.0172,0.5074,0.264,0.8905,0.9192,0.9601,0.2374,1.1946,0.9243,0.6864,0.7868,0.9213,0.515,0.0222,0.0114,0.0148,1.044,0.9841,0.5676,2.1185,0.9642,2.3502,0.0365,0.032,0.0187
365,0.0109,0.01,0.0029,0.314,0.3416,0.1639,1.0891,0.9601,0.535,0.9489,0.9243,0.1134,0.7919,0.9213,0.4051,0.0195,0.01,0.0157,0.9403,0.9841,0.1922,0.7875,0.8828,0.8235,0.0469,0.037,0.0448
370,0.0121,0.0106,0.0051,0.2882,0.3206,0.1132,0.9944,1.0559,0.2047,0.9541,1.0194,0.2058,0.5309,0.9213,0.4822,0.0219,0.0114,0.0163,1.0041,0.9841,0.3473,0.5143,0.3724,0.4349,0.0656,0.037,0.0845
375,0.0128,0.011,0.0053,0.3691,0.2658,0.4931,1.0448,1.0452,0.3052,1.0205,1.0335,0.1468,0.7482,0.9213,0.62,0.0205,0.0106,0.0163,1.0401,0.9698,0.4544,0.2991,0.0905,0.3542,0.0427,0.037,0.027
380,0.018,0.0123,0.0099,0.795,0.3943,1.4385,0.9676,1.0344,0.5838,0.977,1.042,0.263,0.5314,0.857,0.4984,0.0241,0.0102,0.0182,1.018,0.9698,0.3984,0.2039,0.0741,0.3259,0.0422,0.0386,0.0235
385,0.0228,0.013,0.0117,0.6181,0.4788,0.4219,0.8556,1.0344,0.3568,1.0112,1.0498,0.2056,0.5417,0.9213,0.4748,0.047,0.0114,0.1034,0.9945,0.9002,0.4279,0.1099,0.065,0.2187,0.0399,0.0386,0.0132
390,0.0169,0.0126,0.0078,0.6587,0.9782,0.404,0.977,1.0344,0.2304,1.0958,1.0787,0.4424,0.5111,0.9213,0.4758,0.0128,0.0101,0.0062,1.0058,0.8885,0.3765,0.0627,0.0513,0.0827,0.045,0.0386,0.0296
395,0.0205,0.013,0.0136,0.7234,0.9569,0.5132,0.9764,0.9817,0.3765,1.0963,1.1029,0.0897,0.5585,0.9213,0.4774,0.0181,0.0112,0.0105,0.9026,0.8885,0.1547,0.0748,0.0507,0.1127,0.0423,0.035,0.0316
400,0.0275,0.0301,0.0171,0.4426,0.2995,0.4071,0.9375,1.0344,0.264,1.1167,1.0787,0.3057,0.6299,0.8873,0.4108,0.0285,0.0312,0.0166,1.1168,1.1336,0.4274,0.0787,0.0535,0.0908,0.0461,0.0321,0.0588
405,0.0293,0.0106,0.0397,0.6845,0.8826,0.4231,1.0839,1.1014,0.4159,1.3191,1.0387,1.1048,0.8255,0.9213,0.5304,0.0457,0.0322,0.0483,0.9378,1.0417,0.4579,0.0808,0.0639,0.0766,0.06,0.042,0.0628
410,0.0112,0.01,0.0047,0.5832,0.3374,0.3893,0.8244,1.0344,0.4122,0.9894,1.0787,0.2541,0.7864,0.9213,0.534,0.0586,0.036,0.0454,0.9186,0.9291,0.4163,0.0602,0.0535,0.052,0.0638,0.035,0.077
415,0.0139,0.01,0.0144,0.8984,0.9989,0.3971,0.7428,0.9896,0.427,1.1259,1.0827,0.4835,0.7,0.9213,0.5474,0.0807,0.086,0.0583,0.8607,1.0283,0.3327,0.065,0.0535,0.0406,0.0519,0.042,0.0513
420,0.0135,0.01,0.0078,0.6674,0.6686,0.483,0.8645,1.012,0.3459,1.0057,1.0387,0.5501,0.5155,0.3968,0.5047,0.0924,0.071,0.0861,1.0532,1.0471,0.3683,0.0522,0.0499,0.0293,0.0675,0.0388,0.0778
425,0.013,0.0102,0.0058,0.4463,0.3079,0.5723,0.9608,1.0344,0.2463,0.9923,0.9453,0.2031,0.5419,0.5071,0.5037,0.1587,0.1119,0.1629,1.1127,1.0471,0.5138,0.0365,0.039,0.0255,0.1728,0.042,0.2445
430,0.0159,0.0127,0.0095,0.3936,0.2928,0.4695,0.9732,0.9899,0.4019,0.9797,1.0433,0.204,0.7432,0.9213,0.6007,0.1848,0.071,0.2568,1.015,1.0471,0.2848,0.0302,0.0288,0.0189,0.1777,0.042,0.2543
435,0.0298,0.0161,0.0273,0.1479,0.0999,0.1199,0.8324,0.9753,0.3686,1.3077,1.1206,0.5717,0.5732,0.802,0.5472,0.1227,0.0691,0.1599,0.9915,1.0471,0.2495,0.0329,0.0398,0.0177,0.0489,0.037,0.0598
440,0.0245,0.016,0.0126,0.2234,0.1051,0.1664,0.833,0.9753,0.485,1.2399,1.1206,0.4577,0.7883,0.9213,0.6028,0.1781,0.2158,0.1527,1.0458,1.0471,0.3975,0.0371,0.049,0.0261,0.0311,0.0319,0.0102
445,0.0207,0.0159,0.0113,0.1631,0.1051,0.1116,1.0422,0.9753,0.3941,1.01,0.9566,0.0871,0.609,0.9213,0.4688,0.2195,0.219,0.1106,0.9892,0.9788,0.3722,0.0393,0.0513,0.019,0.0389,0.0477,0.0133
450,0.0189,0.0138,0.0177,0.1591,0.1031,0.1363,1.0751,0.9753,1.1096,1.0846,1.0404,0.3373,0.6521,0.9213,0.4853,0.2227,0.219,0.1204,0.9684,1.0283,0.381,0.044,0.0493,0.0172,0.0463,0.0453,0.031
455,0.017,0.0138,0.0106,0.2307,0.1041,0.2196,0.9029,0.8932,0.4905,0.9466,0.9566,0.2217,0.5951,0.8758,0.4656,0.27,0.219,0.1778,0.9509,0.9788,0.1911,0.0562,0.0513,0.0275,0.0342,0.0319,0.0156
460,0.0124,0.0121,0.0056,0.2724,0.3331,0.1953,0.9107,0.9053,0.1465,1.0204,0.9977,0.1576,0.7506,0.9239,0.4343,0.2727,0.2038,0.1646,0.9287,0.9788,0.3616,0.065,0.0569,0.0337,0.0224,0.0254,0.0141
465,0.0121,0.0121,0.0036,0.1961,0.1051,0.2487,0.8143,0.9218,0.4941,0.9914,0.9566,0.3156,0.9699,1.0779,0.5838,0.2411,0.2038,0.1529,0.9758,0.9788,0.1262,0.0642,0.0599,0.0318,0.027,0.0266,0.0114
470,0.0122,0.0111,0.005,0.1715,0.1051,0.1197,0.9322,1.0036,0.2428,1.0393,0.9772,0.2685,0.7183,0.8547,0.5683,0.2907,0.2381,0.2099,0.9693,0.9965,0.1387,0.0629,0.0616,0.0338,0.0324,0.0266,0.0148
475,0.0117,0.0113,0.0035,0.2246,0.2909,0.1211,0.8445,1.0036,0.3321,1.1515,0.9977,0.7295,0.9301,1.004,0.3298,0.3592,0.4923,0.2037,0.944,0.9788,0.394,0.0597,0.0525,0.0502,0.0579,0.041,0.0494
480,0.0112,0.0107,0.0015,0.2669,0.291,0.2263,1.0788,1.0506,0.1914,1.2357,0.9977,0.8271,0.8484,0.9463,0.332,0.4341,0.4923,0.1734,0.8376,0.9788,0.499,0.0515,0.0604,0.0232,0.0837,0.0766,0.0453
485,0.0134,0.0101,0.0064,0.1999,0.1114,0.1757,0.9372,1.0036,0.3108,0.9772,0.9977,0.4255,1.1191,0.9501,1.1852,0.3826,0.4923,0.2924,0.8445,0.9635,0.635,0.0673,0.0642,0.0807,0.044,0.0114,0.076
490,0.0166,0.0122,0.0099,0.2957,0.3495,0.2581,1.0051,1.0214,0.5079,1.2249,0.9977,1.3411,0.8458,0.9833,0.669,0.5895,0.545,0.486,0.7699,0.9788,0.3927,0.0898,0.0665,0.0572,0.1007,0.014,0.1493
495,0.0167,0.0122,0.0105,0.2585,0.0426,0.368,0.8037,0.998,0.3639,1.2525,1.1323,0.6443,0.7237,0.9833,0.4699,1.0425,0.6817,0.7602,0.8913,0.9547,0.4622,0.095,0.0694,0.1055,0.0993,0.0114,0.1766
