gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
385,0.0154,0.0146,0.0065,2.5454,0.6252,2.6366,0.8045,0.8414,0.3015,1.337,1.3736,0.5386,1.0304,0.9855,0.3015,4.6644,4.8058,3.867,0.6715,0.7085,0.6748,0.0201,0.0182,0.0078,0.1072,0.0567,0.1297
390,0.0169,0.0139,0.0088,2.0177,0.6605,2.4152,0.689,0.7682,0.3437,1.3228,1.3736,0.569,1.0205,0.9855,0.422,2.7631,0.9385,3.2869,0.5666,0.7292,0.586,0.0176,0.0178,0.0058,0.2525,0.1559,0.2371
395,0.0157,0.0139,0.0072,2.4492,0.6615,2.6117,0.8717,0.7776,0.1377,1.2423,1.1802,0.1429,1.1079,0.9855,0.4827,1.7803,0.9385,2.2326,0.56,0.4284,0.6421,0.0291,0.0179,0.0294,0.2056,0.1415,0.3129
400,0.0134,0.0139,0.0017,4.1521,5.5813,2.5646,0.8587,0.8323,0.2008,1.2137,1.0616,0.6198,1.076,0.9666,0.4019,0.8187,0.8813,0.4166,0.5968,0.8787,0.51,0.0164,0.0148,0.009,0.153,0.111,0.1592
405,0.0122,0.0117,0.0016,4.0192,5.5813,3.0923,0.8362,0.8232,0.2427,1.1142,1.1433,0.1344,0.9601,0.9477,0.1784,0.6109,0.7406,0.5098,0.4789,0.0328,0.5387,0.019,0.0135,0.0144,0.1815,0.1313,0.1596
410,0.0137,0.0117,0.0072,4.9557,5.788,2.7888,0.84,0.8232,0.3531,1.0255,1.106,0.2373,1.0408,0.9666,0.3866,0.9903,0.9086,0.7874,0.691,0.8787,0.4839,0.0126,0.01,0.0065,0.2426,0.1186,0.1607
415,0.016,0.0117,0.0105,4.531,5.788,2.5826,0.7042,0.8232,0.4026,1.1212,1.1417,0.3802,0.9255,0.9477,0.1817,1.4967,0.9086,1.0774,0.6127,0.8787,0.4972,0.0181,0.0105,0.0127,0.3279,0.1186,0.3747
420,0.0182,0.0128,0.0234,7.3727,7.4357,2.9071,0.784,0.8232,0.3154,0.9863,1.0019,0.161,1.1049,1.0487,0.3908,1.3652,0.9086,1.0817,0.7489,0.8944,0.4133,0.0147,0.0107,0.0096,0.275,0.1184,0.3541
425,0.0124,0.0117,0.0044,7.8214,9.4802,2.8921,0.8293,0.8724,0.4727,0.8831,0.9563,0.2087,0.8682,0.9382,0.2026,0.8221,0.8904,0.625,0.6198,0.7422,0.4441,0.0241,0.0278,0.0129,0.4799,0.3589,0.5356
430,0.012,0.0117,0.0012,9.3748,10.0,1.2164,0.6922,0.8107,0.3374,0.9211,0.9365,0.3041,0.9418,0.8872,0.1844,0.7593,0.7984,0.2917,0.5661,0.6933,0.5202,0.0249,0.0278,0.0154,0.2382,0.0411,0.4636
435,0.0133,0.0128,0.0039,7.8544,8.2303,1.8392,0.7879,0.9003,0.2776,1.0581,0.9563,0.4006,1.0369,0.8849,1.0019,0.8955,0.772,0.6595,0.8743,1.0903,0.6135,0.0277,0.0113,0.0269,0.057,0.0253,0.2248
440,0.0143,0.0138,0.0039,8.6603,8.3006,1.265,0.7221,0.8724,0.3227,1.003,1.0019,0.0821,1.1129,0.9678,0.5459,0.7468,0.8248,0.4839,0.5294,0.1067,0.537,0.0292,0.021,0.0283,0.0201,0.01,0.0147
445,0.0142,0.0138,0.002,8.2529,10.0,2.6873,1.0034,0.967,0.611,1.058,1.0019,0.2843,0.8188,0.8179,0.2236,1.1067,0.9725,0.6984,0.6663,0.4862,0.693,0.0252,0.0168,0.023,0.0156,0.01,0.0109
450,0.0196,0.0148,0.013,8.4427,10.0,2.5065,0.7785,0.9624,0.6512,0.9959,1.0019,0.1522,0.8531,0.8592,0.4375,1.0871,1.0845,0.6465,0.6275,0.835,0.6447,0.0483,0.0285,0.0356,0.0179,0.01,0.0118
455,0.0305,0.0149,0.0268,8.8194,10.0,2.0607,0.6656,0.9325,0.4895,1.1074,1.0343,0.4109,0.8637,1.0487,0.3517,1.4574,1.182,1.1207,0.758,0.8669,0.7268,0.0372,0.021,0.0324,0.0282,0.0185,0.0237
460,0.0139,0.0133,0.0084,8.5559,7.973,1.5366,0.6997,0.9045,0.5374,0.9986,1.0019,0.0804,0.9381,1.0134,0.3102,1.7835,1.182,1.3561,0.7642,0.8669,0.6255,0.0226,0.021,0.0174,0.0262,0.0251,0.0154
465,0.0187,0.0121,0.0136,6.2406,7.973,3.4667,0.6074,0.4355,0.5379,0.9188,1.0019,0.3921,1.0033,1.0487,0.2208,1.7748,0.3314,2.085,0.7278,0.8669,0.3801,0.0188,0.0183,0.0051,0.0315,0.0262,0.017
470,0.0293,0.03,0.0216,5.561,7.973,3.7863,0.7249,0.8535,0.3933,0.9771,0.9601,0.3912,0.9328,1.0487,0.3472,0.9752,0.3314,1.371,0.6399,0.8778,0.4434,0.0269,0.0179,0.0216,0.0362,0.027,0.0319
475,0.0362,0.0341,0.0199,3.8279,2.0124,3.239,0.8652,0.9428,0.4097,1.0348,1.0019,0.4619,0.7946,0.9914,0.4087,1.1854,0.3314,1.6043,0.5118,0.5482,0.4462,0.0405,0.0239,0.0408,0.033,0.0233,0.0321
480,0.0338,0.0318,0.0223,3.7583,1.2676,3.6034,0.9963,1.0555,0.2492,0.9015,0.8682,0.3932,0.7945,0.9896,0.4352,2.8074,3.7473,2.4548,1.0041,0.8851,0.7191,0.0234,0.0179,0.0132,0.0645,0.0398,0.0526
485,0.0299,0.0311,0.0144,4.4523,5.3516,3.3988,0.8307,0.8748,0.1676,0.9467,1.0019,0.1106,0.748,1.0626,0.5324,2.0486,0.3845,2.7074,0.9416,0.9368,0.2918,0.0232,0.0179,0.0148,0.0551,0.0233,0.0593
490,0.0311,0.0274,0.0165,5.7481,7.6511,3.0677,0.8568,0.8748,0.2363,0.9915,1.0019,0.0685,1.0096,1.0626,0.7434,1.6029,0.3974,1.6946,0.9873,1.0576,0.461,0.0248,0.0179,0.0176,0.0465,0.0156,0.052
495,0.0419,0.04,0.0408,4.0017,1.1613,3.7409,0.9332,0.9737,0.2325,1.1453,1.0019,0.4624,0.4972,0.1151,0.5059,2.2755,1.1922,2.3856,1.0771,1.0576,0.5983,0.0188,0.0124,0.0148,0.0234,0.0146,0.0166
